text,label,label_id
Sir aaj ki class bahut achhi thi,Positive,0
Lecture bahut interesting tha,Positive,0
Concept clearly samajh aa gaya,Positive,0
Sir ka padhane ka style achha hai,Positive,0
Class me maza aaya,Positive,0
Sir ne examples ke sath samjhaya,Positive,0
Aaj ka lecture helpful tha,Positive,0
Sir bahut clearly padhate hai,Positive,0
Class engaging thi,Positive,0
Sir ke explanation se doubt clear ho gaye,Positive,0
Aaj ki class productive thi,Positive,0
Sir ka explanation easy tha,Positive,0
Concept simple language me samjhaya,Positive,0
Sir ne time par syllabus complete kiya,Positive,0
Lecture enjoyable tha,Positive,0
Sir ne students ke questions liye,Positive,0
Class ka environment achha tha,Positive,0
Padhai interesting lag rahi hai,Positive,0
Sir ke notes helpful hai,Positive,0
Aaj ka topic achha laga,Positive,0
Sir motivate karte hai,Positive,0
Class me focus bana raha,Positive,0
Sir ka approach achha hai,Positive,0
Lecture achhi pace me tha,Positive,0
Sir friendly hai,Positive,0
Concept practical examples se samjha,Positive,0
Class interactive thi,Positive,0
Sir clearly bolte hai,Positive,0
Aaj padhai samajh aayi,Positive,0
Class ka experience achha raha,Positive,0
Sir ki teaching style superb hai,Positive,0
Har topic detail mein cover kiya gaya,Positive,0
Learning experience bahut zabardast tha,Positive,0
Mujhe laga ki main bohot kuch seekh gaya,Positive,0
Questions poochne me koi jhijhak nahi hui,Positive,0
Pure lecture me energy bani rahi,Positive,0
Sir ka sense of humor bhi achha hai,Positive,0
Complex topics bhi aasan lage,Positive,0
Notes aur slides dono kaam ke the,Positive,0
Ekdum perfect class thi aaj ki,Positive,0
Aaj ka session mind-blowing tha,Positive,0
Har cheez crystal clear ho gayi,Positive,0
Itna confidence mila ki kya bataun,Positive,0
Sir jaisa teacher milna mushkil hai,Positive,0
Class mein time kaise nikal gaya pata hi nahi chala,Positive,0
Sabse best part tha interactive sessions,Positive,0
Maza aa gaya padhke aaj,Positive,0
Definitely recommend karunga is class ko,Positive,0
Padhai ko interesting bana dete hai sir,Positive,0
"Awesome experience, thank you sir",Positive,0
Really enjoyed the lecture today,Positive,0
Concepts became so much clearer,Positive,0
Sir has a great way of explaining things,Positive,0
Feeling very positive about my learning,Positive,0
The examples were spot on,Positive,0
Highly engaging and informative class,Positive,0
My doubts were completely resolved,Positive,0
The content was very relevant and useful,Positive,0
Looking forward to the next class,Positive,0
A very enriching learning session,Positive,0
Aaj ki class boring thi,Negative,1
Lecture samajh nahi aaya,Negative,1
Sir bahut fast padhate hai,Negative,1
Class me interest nahi bana,Negative,1
Aaj ka topic confusing tha,Negative,1
Sir ka explanation clear nahi tha,Negative,1
Lecture dull lag raha tha,Negative,1
Class me focus nahi ho paaya,Negative,1
Sir examples nahi dete,Negative,1
Aaj padhai mushkil lagi,Negative,1
Class ka pace bahut fast tha,Negative,1
